radical,count_l,count_b,full,count_l_relativo,count_b_relativo
abaix,5,2,abaixo,0.004975768009792311,0.0038471896279767635
abandon,10,11,abandono,0.009951536019584623,0.021159542953872196
abastec,1,1,abastecimento,0.0009951536019584624,0.0019235948139883817
abenço,6,18,abençoe,0.005970921611750774,0.03462470665179087
abert,35,38,abertura,0.03483037606854618,0.0730966029315585
abort,3,14,aborto,0.002985460805875387,0.02693032739583734
abr,54,26,abrir,0.05373829450575696,0.050013465163697916
abrah,1,3,abraham,0.0009951536019584624,0.005770784441965144
abraç,9,3,abraços,0.00895638241762616,0.005770784441965144
abril,25,16,abril,0.02487884004896156,0.030777517023814108
abrir,1,1,abrirá,0.0009951536019584624,0.0019235948139883817
absolut,1,2,absoluto,0.0009951536019584624,0.0038471896279767635
absolv,21,6,absolvição,0.02089822564112771,0.011541568883930289
absorv,1,1,absorvidos,0.0009951536019584624,0.0019235948139883817
absurd,26,19,absurdo,0.025873993650920017,0.03654830146577925
abus,17,8,abusos,0.01691761123329386,0.015388758511907054
acab,225,66,acabar,0.223909560440654,0.12695725772323319
academ,1,16,academia,0.0009951536019584624,0.030777517023814108
acadêm,2,3,acadêmico,0.0019903072039169248,0.005770784441965144
acamp,47,1,acampamento,0.04677221929204773,0.0019235948139883817
acas,3,3,acaso,0.002985460805875387,0.005770784441965144
aceit,100,17,aceitar,0.09951536019584624,0.032701111837802485
aceler,1,4,acelerado,0.0009951536019584624,0.007694379255953527
acert,7,3,acertos,0.0069660752137092365,0.005770784441965144
acess,89,34,acesso,0.08856867057430313,0.06540222367560497
acessibil,2,3,acessibilidade,0.0019903072039169248,0.005770784441965144
ach,258,28,acho,0.2567496293052833,0.05386065479167468
acid,6,2,acidente,0.005970921611750774,0.0038471896279767635
acim,29,86,acima,0.028859454456795407,0.16542915400300082
acion,1,1,acionou,0.0009951536019584624,0.0019235948139883817
acompanh,251,40,acompanhe,0.24978355409157404,0.07694379255953526
aconcheg,1,1,aconchego,0.0009951536019584624,0.0019235948139883817
aconselh,1,1,aconselho,0.0009951536019584624,0.0019235948139883817
acontec,183,26,acontecendo,0.1821131091583986,0.050013465163697916
aconteç,4,3,aconteça,0.0039806144078338495,0.005770784441965144
acord,33,79,acordo,0.03284006886462926,0.15196399030508212
acostum,2,2,acostumando,0.0019903072039169248,0.0038471896279767635
acr,17,5,acre,0.01691761123329386,0.009617974069941908
acredit,135,50,acreditar,0.13434573626439242,0.09617974069941908
acus,101,27,acusação,0.10051051379780471,0.051937059977686294
adequ,2,1,adequado,0.0019903072039169248,0.0019235948139883817
ader,3,5,aderiu,0.002985460805875387,0.009617974069941908
ades,2,5,adesão,0.0019903072039169248,0.009617974069941908
adeu,2,1,adeus,0.0019903072039169248,0.0019235948139883817
adi,1,1,adiado,0.0009951536019584624,0.0019235948139883817
adiant,33,43,adianta,0.03284006886462926,0.08271457700150041
adilson,1,1,adilson,0.0009951536019584624,0.0019235948139883817
adm,3,1,admira,0.002985460805875387,0.0019235948139883817
administr,7,6,administração,0.0069660752137092365,0.011541568883930289
admir,6,3,admiração,0.005970921611750774,0.005770784441965144
admit,30,8,admitem,0.029854608058753868,0.015388758511907054
adolesc,2,1,adolescentes,0.0019903072039169248,0.0019235948139883817
adolf,11,1,adolfo,0.010946689621543085,0.0019235948139883817
ador,2,1,adora,0.0019903072039169248,0.0019235948139883817
adot,7,4,adotamos,0.0069660752137092365,0.007694379255953527
adquir,2,1,adquirir,0.0019903072039169248,0.0019235948139883817
adult,2,3,adultos,0.0019903072039169248,0.005770784441965144
advers,69,21,adversários,0.0686655985351339,0.040395491093756015
advocac,1,3,advocacia,0.0009951536019584624,0.005770784441965144
advog,154,10,advogado,0.1532536547016032,0.019235948139883816
aeroport,18,62,aeroporto,0.01791276483525232,0.11926287846727966
afast,3,5,afastamento,0.002985460805875387,0.009617974069941908
afet,5,7,afeta,0.004975768009792311,0.01346516369791867
afinal,6,7,afinal,0.005970921611750774,0.01346516369791867
afirm,46,6,afirma,0.04577706569008926,0.011541568883930289
afor,3,1,afora,0.002985460805875387,0.0019235948139883817
afront,5,1,afronta,0.004975768009792311,0.0019235948139883817
agend,21,38,agenda,0.02089822564112771,0.0730966029315585
agent,4,25,agentes,0.0039806144078338495,0.04808987034970954
agil,1,6,agilidade,0.0009951536019584624,0.011541568883930289
agind,3,4,agindo,0.002985460805875387,0.007694379255953527
agir,5,7,agir,0.004975768009792311,0.01346516369791867
agiu,5,2,agiu,0.004975768009792311,0.0038471896279767635
agost,29,25,agosto,0.028859454456795407,0.04808987034970954
agrad,3,2,agradar,0.002985460805875387,0.0038471896279767635
agradec,134,32,agradecer,0.13335058266243396,0.061555034047628215
agradeç,22,91,agradeço,0.02189337924308617,0.1750471280729427
agred,3,2,agredida,0.002985460805875387,0.0038471896279767635
agress,5,13,agressão,0.004975768009792311,0.025006732581848958
agrest,2,3,agreste,0.0019903072039169248,0.005770784441965144
agricul,26,2,agricultores,0.025873993650920017,0.0038471896279767635
agricult,39,29,agricultura,0.03881099047638003,0.05578424960566307
agronegóci,1,8,agronegócio,0.0009951536019584624,0.015388758511907054
agropecuár,1,3,agropecuária,0.0009951536019584624,0.005770784441965144
agrár,10,1,agrária,0.009951536019584623,0.0019235948139883817
agrícol,2,2,agrícola,0.0019903072039169248,0.0038471896279767635
aguard,14,16,aguarda,0.013932150427418473,0.030777517023814108
aguent,4,8,aguentam,0.0039806144078338495,0.015388758511907054
agênc,8,12,agência,0.007961228815667699,0.023083137767860577
air,7,4,aires,0.0069660752137092365,0.007694379255953527
ajud,91,40,ajudar,0.09055897777822007,0.07694379255953526
alago,23,2,alagoas,0.02288853284504463,0.0038471896279767635
alavanc,2,2,alavancar,0.0019903072039169248,0.0038471896279767635
albert,8,8,alberto,0.007961228815667699,0.015388758511907054
alcanç,6,9,alcançar,0.005970921611750774,0.017312353325895435
alckmin,16,4,alckmin,0.015922457631335398,0.007694379255953527
alcânt,5,9,alcântara,0.004975768009792311,0.017312353325895435
